name,@lat,@lon,addr:street,contact:phone,contact:website,opening_hours
Pizzeria don Lito,-34.7978184,-58.3355505,,,,
Pizzeria don lito,-34.8064710,-58.2703576,,,,
Acqua Farina,-37.1647209,-56.9023168,,,,
El Rincon,-37.1443768,-56.8817427,,,,
Pizza Hot,-37.1164418,-56.8549422,,,,
Pizza Hot,-37.1656494,-56.9010444,,,,
Totem,-37.1653789,-56.9036406,,,,
Almacén de Pizzas,-34.4523651,-58.7269052,,,,
Almacén de Pizza,-34.5600427,-58.4526487,,,,
Almacén de Pizza,-34.5654047,-58.4594255,,,,
Pizzeria Udine,-34.7758978,-58.3047811,,,,
Nicanor,-31.7202899,-60.5201405,,,,
La gallina turuleca,-38.8564170,-60.0748964,Avenida 26,,,
La Recoleta,-27.4469188,-58.9822388,,,,
La vaca atada,-27.4534716,-58.9910907,,,,
Herm4nos,-27.4464831,-58.9845856,,,,
